ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,北京,纵情向前,5,False,1,False,200,150,数据分析实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/B5/E8/B5C5D83A99A2A1C139CD2E1CEB0780E8.png,inn_n7zwluxcpxju
f,北京,百度,4,False,0,False,200,150,大数据研发实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/D6/AA/D6B364EB408649F1DA7A5C6BBFE47DAA.jpg,inn_jqb5uarsonw3
f,北京,电通安吉斯集团,3,False,1,False,150,100,Search Intern,08-13,intern,https://sxsimg.xiaoyuanzhao.com/C9/F4/C9A7BD49C10153F5F0235201AEAF25F4.png,inn_apro8lsw3dam
f,北京,洋葱数学,3,False,1,False,300,150,数据挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/43/2F/43F1B3624EA1672AF80B72029634C32F.jpg,inn_xmdpuc2vwrdm
f,北京,第四范式,5,False,1,False,400,200,数据挖掘,08-13,intern,https://sxsimg.xiaoyuanzhao.com/5E/21/5E05DB0EE3760E16C9B0FC8277AA4221.png,inn_gglouvbvtqpp
f,北京,第四范式,5,False,1,False,400,399,机器学习建模实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/5E/21/5E05DB0EE3760E16C9B0FC8277AA4221.png,inn_cxspyze0gedo
f,北京,博彦科技,5,False,1,False,150,100,地图数据标记,08-13,intern,https://sxsimg.xiaoyuanzhao.com/2D/9B/2D0345D8F72A236C61E98C63865ABF9B.jpg,inn_donqbw05phbo
f,北京,博彦科技,5,False,1,False,200,150,文本标注专员,08-13,intern,https://sxsimg.xiaoyuanzhao.com/2D/9B/2D0345D8F72A236C61E98C63865ABF9B.jpg,inn_fcmpc5txngny
f,北京,网易有道,4,False,1,False,250,200,数据挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,inn_ezjwvz2njkdn
f,北京,小糖互联,4,False,1,False,250,200,数据挖掘/推荐算法实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/E0/41/E00ADD1F2702CD5E3718D9F90A626641.png,inn_fd9ufmzvv5wx
f,广州,精点数据,4,False,1,False,200,100,大数据分析/挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/22/B2/22CC264BEAF2CE98C4882C22D9492DB2.png,inn_1monbejdh4hj
f,北京,小鱼在家,3,False,1,False,200,150,人工智能-语音识别实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/1F/C0/1F58394200D85FE518D22B3C8D0E8BC0.png,inn_fn7u4dk3dpdn
f,上海,旻投电力,5,False,1,False,50,1,数据建模工程师,08-13,intern,https://sxsimg.xiaoyuanzhao.com/F9/CD/F9AC2D49D871B0E43572681D9DF83FCD.png,inn_ta8pbvqegwbf
f,北京,FCB,4,False,1,False,150,100,数据分析实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/AC/64/ACC5862AFCBE3DA63404F76164071464.jpg,inn_u8rpl2dfxwda
f,北京,滴滴,4,False,1,False,261,259,数据挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/CF/03/CF68C6D9B996C165F8281689193D7303.jpg,inn_gd33hajjwhwp
f,北京,奇虎360,4,False,0,False,200,150,地图POI数据挖掘实习生,08-13,intern,https://sxsimg.xiaoyuanzhao.com/26/1C/26E852051943C98DEBB48439BDE2091C.jpg,inn_g5ifzzfz1unq
f,"北京,武汉",尚德机构,5,False,1,False,300,150,机器学习/数据挖掘研发工程师,08-13,intern,https://sxsimg.xiaoyuanzhao.com/BE/1C/BE84CC5CCF3AC65F1890F102E51D261C.png,inn_r8hycsaehlkq
